Delta,Algoritmo,Cardinalidade
1.37541993727e-06,"BRKGA",3
9.25464952826e-05,"BRKGA",3
7.52146012419e-05,"BRKGA",3
3.86075470321e-06,"BRKGA",3
0.000109193856658,"BRKGA",3
6.32851010242e-05,"BRKGA",3
0.0,"BRKGA",3
0.000503920465118,"BRKGA",3
0.000114097861924,"BRKGA",3
0.0,"BRKGA",3
4.84772569065e-06,"BRKGA",3
2.83468821515e-07,"BRKGA",3
0.000207464094328,"BRKGA",3
1.0402717274e-05,"BRKGA",3
0.0,"BRKGA",3
7.03314221485e-05,"BRKGA",3
1.46138473373e-06,"BRKGA",3
7.45739942418e-05,"BRKGA",3
0.000120779679538,"BRKGA",3
0.0,"BRKGA",3
8.44154802246e-05,"BRKGA",3
1.16180857068e-05,"BRKGA",3
0.000114035493985,"BRKGA",3
0.000307680388061,"BRKGA",3
0.000128622431616,"BRKGA",3
0.00019405716083,"BRKGA",3
0.0,"BRKGA",3
0.000211854293482,"BRKGA",3
8.68470654053e-05,"BRKGA",3
0.000332221619446,"BRKGA",3
0.000242179446734,"BRKGA",9
0.000163896759341,"BRKGA",9
0.000135554750068,"BRKGA",9
8.01881548162e-05,"BRKGA",9
0.000128245676217,"BRKGA",9
0.000267105794279,"BRKGA",9
0.000247662837871,"BRKGA",9
0.000193658863564,"BRKGA",9
0.000100434535672,"BRKGA",9
0.00026343481992,"BRKGA",9
0.000121645272784,"BRKGA",9
0.000240347942144,"BRKGA",9
0.000428447331988,"BRKGA",9
0.000124806858342,"BRKGA",9
0.00028421004074,"BRKGA",9
0.000361269047974,"BRKGA",9
0.000170057378577,"BRKGA",9
0.000121671930657,"BRKGA",9
0.000186602800359,"BRKGA",9
0.000381632045717,"BRKGA",9
0.00011577717668,"BRKGA",9
6.80258684094e-05,"BRKGA",9
0.000115842283238,"BRKGA",9
0.000175789396829,"BRKGA",9
0.000160949270331,"BRKGA",9
0.000282715649027,"BRKGA",9
0.000150937960405,"BRKGA",9
0.000235470550085,"BRKGA",9
0.00019771593266,"BRKGA",9
5.70924952579e-05,"BRKGA",9
0.000620913466499,"BRKGA",15
0.000716952635078,"BRKGA",15
0.000518919786142,"BRKGA",15
0.000357944984688,"BRKGA",15
0.000700411072497,"BRKGA",15
0.000563586142717,"BRKGA",15
0.000470108494129,"BRKGA",15
0.00041950941136,"BRKGA",15
0.000496905548258,"BRKGA",15
0.000711951940166,"BRKGA",15
0.00112411287936,"BRKGA",15
0.000317232293676,"BRKGA",15
0.000466319901034,"BRKGA",15
0.000633273564187,"BRKGA",15
0.000185625823699,"BRKGA",15
0.000262720689301,"BRKGA",15
0.000510580784461,"BRKGA",15
0.000599126924124,"BRKGA",15
0.000613468215566,"BRKGA",15
0.000233809108278,"BRKGA",15
0.000341184362733,"BRKGA",15
0.000527359687926,"BRKGA",15
0.00042855531219,"BRKGA",15
0.000221436972389,"BRKGA",15
0.000333565876142,"BRKGA",15
0.000522452847278,"BRKGA",15
0.000820290535183,"BRKGA",15
0.000371481694924,"BRKGA",15
0.000539962508206,"BRKGA",15
0.000339282829951,"BRKGA",15
8.12246463994e-05,"NSGA-II",3
9.25513346865e-05,"NSGA-II",3
8.18614232498e-05,"NSGA-II",3
8.98076742977e-05,"NSGA-II",3
9.29981854539e-05,"NSGA-II",3
7.376603281e-05,"NSGA-II",3
8.71347777104e-05,"NSGA-II",3
8.99717331833e-05,"NSGA-II",3
8.55283954134e-05,"NSGA-II",3
9.09806993244e-05,"NSGA-II",3
8.63526648093e-05,"NSGA-II",3
8.54208396763e-05,"NSGA-II",3
9.09053210229e-05,"NSGA-II",3
8.39830346967e-05,"NSGA-II",3
8.2897399321e-05,"NSGA-II",3
8.85804850708e-05,"NSGA-II",3
8.28902624829e-05,"NSGA-II",3
8.2803240332e-05,"NSGA-II",3
7.64432947653e-05,"NSGA-II",3
8.28933424761e-05,"NSGA-II",3
8.51561644235e-05,"NSGA-II",3
7.68157891038e-05,"NSGA-II",3
9.34017255814e-05,"NSGA-II",3
7.1888092291e-05,"NSGA-II",3
7.9883169794e-05,"NSGA-II",3
8.88498377851e-05,"NSGA-II",3
8.58751689862e-05,"NSGA-II",3
7.82792876582e-05,"NSGA-II",3
8.00321254224e-05,"NSGA-II",3
8.00162966082e-05,"NSGA-II",3
4.33735017e-05,"NSGA-II",9
3.98864472775e-05,"NSGA-II",9
2.95850494618e-05,"NSGA-II",9
3.46664320903e-05,"NSGA-II",9
3.76618642281e-05,"NSGA-II",9
3.76754700756e-05,"NSGA-II",9
4.08880932226e-05,"NSGA-II",9
2.94926929203e-05,"NSGA-II",9
4.36796085615e-05,"NSGA-II",9
4.71519436561e-05,"NSGA-II",9
3.05084581247e-05,"NSGA-II",9
3.84393740675e-05,"NSGA-II",9
2.92819185741e-05,"NSGA-II",9
4.06446074472e-05,"NSGA-II",9
4.78064898878e-05,"NSGA-II",9
3.6391619992e-05,"NSGA-II",9
3.74822157585e-05,"NSGA-II",9
3.64128059544e-05,"NSGA-II",9
3.67016504505e-05,"NSGA-II",9
3.05456324183e-05,"NSGA-II",9
3.10953246991e-05,"NSGA-II",9
4.50114037462e-05,"NSGA-II",9
4.06990083261e-05,"NSGA-II",9
3.27397739295e-05,"NSGA-II",9
3.91611371304e-05,"NSGA-II",9
3.9070398524e-05,"NSGA-II",9
2.91238087249e-05,"NSGA-II",9
4.33464864011e-05,"NSGA-II",9
3.84910168834e-05,"NSGA-II",9
3.65734037183e-05,"NSGA-II",9
0.000187720849599,"NSGA-II",15
0.00017253764188,"NSGA-II",15
0.000116323080032,"NSGA-II",15
0.000144097672223,"NSGA-II",15
0.000101157730221,"NSGA-II",15
0.000178458325106,"NSGA-II",15
0.000159413552069,"NSGA-II",15
0.00014084225953,"NSGA-II",15
0.000133967906129,"NSGA-II",15
0.000147526005916,"NSGA-II",15
0.000185262799958,"NSGA-II",15
0.000148295194024,"NSGA-II",15
0.000164933793822,"NSGA-II",15
0.000103464409449,"NSGA-II",15
9.81682740299e-05,"NSGA-II",15
0.000108802246764,"NSGA-II",15
0.000124925962565,"NSGA-II",15
0.000190754261358,"NSGA-II",15
0.000103740582462,"NSGA-II",15
0.000168590265652,"NSGA-II",15
0.000108673852064,"NSGA-II",15
0.000171702716969,"NSGA-II",15
0.000148958645375,"NSGA-II",15
0.00013105939353,"NSGA-II",15
0.000148203491071,"NSGA-II",15
0.000113830068813,"NSGA-II",15
0.000107582018873,"NSGA-II",15
0.000153112694043,"NSGA-II",15
0.000141411436072,"NSGA-II",15
0.000186186706824,"NSGA-II",15
1.56269249601e-05,"Híbrido",3
3.03794687457e-06,"Híbrido",3
0.000355456070041,"Híbrido",3
0.0,"Híbrido",3
9.3894944081e-06,"Híbrido",3
0.0,"Híbrido",3
2.686421284e-05,"Híbrido",3
1.96925172014e-06,"Híbrido",3
0.0,"Híbrido",3
7.70015144501e-06,"Híbrido",3
0.00013857024181,"Híbrido",3
3.54351296499e-05,"Híbrido",3
1.94245072441e-05,"Híbrido",3
4.69168347509e-07,"Híbrido",3
0.0,"Híbrido",3
0.000157848430566,"Híbrido",3
9.58754395616e-05,"Híbrido",3
9.45106444242e-05,"Híbrido",3
0.000228325589841,"Híbrido",3
9.02778482679e-07,"Híbrido",3
2.70437198782e-06,"Híbrido",3
0.000301724232202,"Híbrido",3
0.000101862435489,"Híbrido",3
9.04594938379e-07,"Híbrido",3
3.07361866954e-05,"Híbrido",3
0.00104007329168,"Híbrido",3
0.0,"Híbrido",3
0.000270875637955,"Híbrido",3
0.000352993621862,"Híbrido",3
0.0,"Híbrido",3
0.000100654233586,"Híbrido",9
6.63788288183e-05,"Híbrido",9
6.45099232905e-05,"Híbrido",9
4.58436531816e-05,"Híbrido",9
6.29065922434e-05,"Híbrido",9
5.07993878052e-05,"Híbrido",9
4.91098351586e-05,"Híbrido",9
4.18486433439e-05,"Híbrido",9
5.60201237518e-05,"Híbrido",9
8.07024619257e-05,"Híbrido",9
6.17178988135e-05,"Híbrido",9
0.000142009354159,"Híbrido",9
6.58735808846e-05,"Híbrido",9
5.48472791514e-05,"Híbrido",9
0.0001323967254,"Híbrido",9
5.69717407855e-05,"Híbrido",9
5.21810206078e-05,"Híbrido",9
7.73878182037e-05,"Híbrido",9
8.32834399067e-05,"Híbrido",9
8.00273549504e-05,"Híbrido",9
4.39003763928e-05,"Híbrido",9
5.10162142297e-05,"Híbrido",9
8.58040874822e-05,"Híbrido",9
6.61730497531e-05,"Híbrido",9
