Date,Adj_Close
04/01/2016,1.00052496
05/01/2016,1.00052496
06/01/2016,1.00052496
07/01/2016,1.00052496
08/01/2016,1.00052496
11/01/2016,1.00052496
12/01/2016,1.00052496
13/01/2016,1.00052496
14/01/2016,1.00052496
15/01/2016,1.00052496
18/01/2016,1.00052496
19/01/2016,1.00052496
20/01/2016,1.00052496
21/01/2016,1.00052461
22/01/2016,1.00052461
25/01/2016,1.00052461
26/01/2016,1.00052461
27/01/2016,1.00052461
28/01/2016,1.00052461
29/01/2016,1.00052461
01/02/2016,1.00052461
02/02/2016,1.00052461
03/02/2016,1.00052461
04/02/2016,1.00052461
05/02/2016,1.00052461
10/02/2016,1.00052461
11/02/2016,1.00052461
12/02/2016,1.00052461
15/02/2016,1.00052461
16/02/2016,1.00052461
17/02/2016,1.00052461
18/02/2016,1.00052461
19/02/2016,1.00052461
22/02/2016,1.00052461
23/02/2016,1.00052461
24/02/2016,1.00052461
25/02/2016,1.00052461
26/02/2016,1.00052461
29/02/2016,1.00052461
01/03/2016,1.00052461
02/03/2016,1.00052461
03/03/2016,1.00052461
04/03/2016,1.00052461
07/03/2016,1.00052461
08/03/2016,1.00052461
09/03/2016,1.00052461
10/03/2016,1.00052461
11/03/2016,1.00052461
14/03/2016,1.00052461
15/03/2016,1.00052461
16/03/2016,1.00052461
17/03/2016,1.00052461
18/03/2016,1.00052461
21/03/2016,1.00052461
22/03/2016,1.00052461
23/03/2016,1.00052461
24/03/2016,1.00052461
28/03/2016,1.00052461
29/03/2016,1.00052461
30/03/2016,1.00052461
31/03/2016,1.00052461
01/04/2016,1.00052461
04/04/2016,1.00052461
05/04/2016,1.00052461
06/04/2016,1.00052461
07/04/2016,1.00052461
08/04/2016,1.00052461
11/04/2016,1.00052461
12/04/2016,1.00052461
13/04/2016,1.00052461
14/04/2016,1.00052461
15/04/2016,1.00052461
18/04/2016,1.00052461
19/04/2016,1.00052461
20/04/2016,1.00052461
22/04/2016,1.00052461
25/04/2016,1.00052461
26/04/2016,1.00052461
27/04/2016,1.00052461
28/04/2016,1.00052461
29/04/2016,1.00052461
02/05/2016,1.00052461
03/05/2016,1.00052461
04/05/2016,1.00052461
05/05/2016,1.00052461
06/05/2016,1.00052461
09/05/2016,1.00052461
10/05/2016,1.00052461
11/05/2016,1.00052461
12/05/2016,1.00052461
13/05/2016,1.00052461
16/05/2016,1.00052461
17/05/2016,1.00052461
18/05/2016,1.00052461
19/05/2016,1.00052461
20/05/2016,1.00052461
23/05/2016,1.00052461
24/05/2016,1.00052461
25/05/2016,1.00052461
