Date,Open,High,Low,Close,Adj_Close,Volume
2011-01-03,69310.000000,70471.000000,69305.000000,69962.000000,69962.000000,1862400
2011-01-04,69962.000000,70318.000000,69560.000000,70318.000000,70318.000000,2427200
2011-01-05,70311.000000,71173.000000,69802.000000,71091.000000,71091.000000,2309200
2011-01-06,71093.000000,71167.000000,70469.000000,70579.000000,70579.000000,2546000
2011-01-07,70580.000000,70783.000000,69718.000000,70057.000000,70057.000000,1761000
2011-01-10,70056.000000,70133.000000,69666.000000,70127.000000,70127.000000,1610800
2011-01-11,70146.000000,70647.000000,70145.000000,70423.000000,70423.000000,2138000
2011-01-12,70429.000000,71633.000000,70429.000000,71633.000000,71633.000000,2516000
2011-01-13,71631.000000,71924.000000,70719.000000,70721.000000,70721.000000,2237800
2011-01-14,70723.000000,71184.000000,70397.000000,70940.000000,70940.000000,1806600
2011-01-17,70940.000000,70940.000000,70544.000000,70609.000000,70609.000000,1538600
2011-01-18,70612.000000,71094.000000,70612.000000,70920.000000,70920.000000,1877400
2011-01-19,70921.000000,71190.000000,69966.000000,70058.000000,70058.000000,1884800
2011-01-20,70056.000000,70083.000000,69177.000000,69562.000000,69562.000000,2169600
2011-01-21,69560.000000,70027.000000,69095.000000,69133.000000,69133.000000,2071800
2011-01-24,69134.000000,69513.000000,68786.000000,69427.000000,69427.000000,1474400
2011-01-26,69427.000000,69556.000000,68515.000000,68709.000000,68709.000000,2542400
2011-01-27,68717.000000,69108.000000,67775.000000,68051.000000,68051.000000,2304400
2011-01-28,68051.000000,68182.000000,65898.000000,66698.000000,66698.000000,2544000
2011-01-31,66697.000000,67166.000000,66271.000000,66575.000000,66575.000000,2253800
2011-02-01,66575.000000,67922.000000,66575.000000,67847.000000,67847.000000,2114000
2011-02-02,67844.000000,68012.000000,66643.000000,66688.000000,66688.000000,2551400
2011-02-03,66688.000000,66849.000000,66091.000000,66765.000000,66765.000000,2380800
2011-02-04,66752.000000,66946.000000,65160.000000,65269.000000,65269.000000,2676800
2011-02-07,65272.000000,65893.000000,64916.000000,65362.000000,65362.000000,1980400
2011-02-08,65359.000000,66238.000000,65110.000000,65771.000000,65771.000000,2764000
2011-02-09,65767.000000,65767.000000,64016.000000,64218.000000,64218.000000,2811400
2011-02-10,64217.000000,65106.000000,64185.000000,64578.000000,64578.000000,2356400
2011-02-11,64582.000000,65890.000000,64562.000000,65756.000000,65756.000000,2396400
2011-02-14,65751.000000,66743.000000,65462.000000,66558.000000,66558.000000,1945000
2011-02-15,66558.000000,66861.000000,66117.000000,66341.000000,66341.000000,2355400
2011-02-16,66342.000000,67793.000000,66342.000000,67571.000000,67571.000000,2672400
2011-02-17,67580.000000,67876.000000,67107.000000,67685.000000,67685.000000,2147800
2011-02-18,67685.000000,68226.000000,67386.000000,68067.000000,68067.000000,1944000
2011-02-21,68067.000000,68067.000000,67085.000000,67259.000000,67259.000000,1453000
2011-02-22,67255.000000,67570.000000,66342.000000,66440.000000,66440.000000,3045400
2011-02-23,66440.000000,67266.000000,66049.000000,66910.000000,66910.000000,3335000
2011-02-24,66909.000000,67344.000000,66693.000000,66949.000000,66949.000000,2699200
2011-02-25,66952.000000,67632.000000,66331.000000,66903.000000,66903.000000,2394600
2011-02-28,66909.000000,67458.000000,66687.000000,67383.000000,67383.000000,2640400
2011-03-01,67381.000000,67708.000000,66243.000000,66243.000000,66243.000000,2166400
2011-03-02,66242.000000,67282.000000,66101.000000,67282.000000,67282.000000,2518600
2011-03-03,67284.000000,68188.000000,67284.000000,68146.000000,68146.000000,2254600
2011-03-04,68138.000000,68220.000000,67514.000000,68012.000000,68012.000000,1840000
2011-03-09,68010.000000,68057.000000,67109.000000,67264.000000,67264.000000,1407600
2011-03-10,67256.000000,67256.000000,65854.000000,66041.000000,66041.000000,2375000
2011-03-11,66041.000000,67014.000000,65559.000000,66685.000000,66685.000000,2491000
2011-03-14,66684.000000,67333.000000,66088.000000,67169.000000,67169.000000,1874200
2011-03-15,67168.000000,67168.000000,65463.000000,67005.000000,67005.000000,2852200
2011-03-16,67011.000000,67502.000000,65663.000000,66003.000000,66003.000000,3056800
2011-03-17,66017.000000,66950.000000,66015.000000,66216.000000,66216.000000,1985000
2011-03-18,66217.000000,67384.000000,66217.000000,66880.000000,66880.000000,2842800
2011-03-21,66887.000000,67676.000000,66656.000000,66690.000000,66690.000000,2557400
2011-03-22,66684.000000,67631.000000,66531.000000,67578.000000,67578.000000,2357800
2011-03-23,67570.000000,67918.000000,67317.000000,67796.000000,67796.000000,2145600
2011-03-24,67799.000000,68009.000000,67406.000000,67533.000000,67533.000000,1819800
