0.00000, 0.00197, 0.00165, 0.00679, 0.00000, 0.00114, 0.01438, 0.00000, 0.00236, 0.00000
0.97243, 0.00000, 0.01647, 0.04244, 0.00583, 0.01135, 0.02222, 0.00000, 0.00552, 0.00303
0.97995, 0.94882, 0.00000, 0.01698, 0.00233, 0.01816, 0.01438, 0.00000, 0.00788, 0.00000
0.95238, 0.93504, 0.98023, 0.00000, 0.00350, 0.00681, 0.01307, 0.00000, 0.00473, 0.00000
0.96992, 0.95472, 0.98847, 0.97453, 0.00000, 0.05902, 0.01830, 0.00095, 0.01261, 0.00303
0.93734, 0.92717, 0.96540, 0.96265, 0.89510, 0.00000, 0.04837, 0.00095, 0.00552, 0.00605
0.94486, 0.94685, 0.98517, 0.97623, 0.97669, 0.91260, 0.00000, 0.06161, 0.06225, 0.01110
0.99248, 0.98425, 0.99835, 0.98981, 0.98834, 0.96822, 0.87843, 0.00000, 0.18361, 0.05146
0.94236, 0.94094, 0.97035, 0.95756, 0.94522, 0.96822, 0.85229, 0.69100, 0.00000, 0.03128
0.98246, 0.96063, 0.99012, 0.97963, 0.97203, 0.98070, 0.96732, 0.91185, 0.89046, 0.00000
