Delta,Algoritmo,Cardinalidade
0.000369897681718,"BRKGA",3
1.8579651377e-05,"BRKGA",3
1.12827586006e-06,"BRKGA",3
0.000185084525615,"BRKGA",3
0.000200308384629,"BRKGA",3
4.37374782739e-05,"BRKGA",3
0.00124066615397,"BRKGA",3
0.00018374371837,"BRKGA",3
0.000260654645113,"BRKGA",3
0.000275828714865,"BRKGA",3
0.000289729323298,"BRKGA",3
1.02947601406e-05,"BRKGA",3
0.000208687040497,"BRKGA",3
0.000183656797471,"BRKGA",3
0.000250148835435,"BRKGA",3
0.000193690757841,"BRKGA",3
0.000170413060589,"BRKGA",3
0.00058042096742,"BRKGA",3
0.000611328057746,"BRKGA",3
0.00020745842486,"BRKGA",3
0.00021054069029,"BRKGA",3
0.000283523624647,"BRKGA",3
0.000274195503442,"BRKGA",3
0.000206633770376,"BRKGA",3
0.000217795814938,"BRKGA",3
0.000273520595878,"BRKGA",3
0.000220576889463,"BRKGA",3
0.000374713700421,"BRKGA",3
0.000194206989303,"BRKGA",3
0.000736688351006,"BRKGA",3
0.000642673490642,"BRKGA",9
0.000624288578789,"BRKGA",9
0.000588955617079,"BRKGA",9
0.000574230350275,"BRKGA",9
0.000776051705471,"BRKGA",9
0.000592562946547,"BRKGA",9
0.00057662678153,"BRKGA",9
0.00108488562897,"BRKGA",9
0.000664738176986,"BRKGA",9
0.000872636948299,"BRKGA",9
0.000545445110323,"BRKGA",9
0.000607234454397,"BRKGA",9
0.00111531939418,"BRKGA",9
0.000639938164591,"BRKGA",9
0.0010477172701,"BRKGA",9
0.00041417629358,"BRKGA",9
0.000667486261115,"BRKGA",9
0.000616086574388,"BRKGA",9
0.00090640184268,"BRKGA",9
0.000755906832793,"BRKGA",9
0.000713694431464,"BRKGA",9
0.000785098799917,"BRKGA",9
0.000844013635271,"BRKGA",9
0.000941145809708,"BRKGA",9
0.000753857000924,"BRKGA",9
0.000873339834268,"BRKGA",9
0.000973900912529,"BRKGA",9
0.000799380094069,"BRKGA",9
0.000879862271274,"BRKGA",9
0.000883980710713,"BRKGA",9
0.00119309473562,"BRKGA",15
0.00101715169482,"BRKGA",15
0.000578344387918,"BRKGA",15
0.0010109127884,"BRKGA",15
0.000837603134389,"BRKGA",15
0.000880328398268,"BRKGA",15
0.000759337109808,"BRKGA",15
0.000872835653133,"BRKGA",15
0.000934988993891,"BRKGA",15
0.000972127925609,"BRKGA",15
0.000467662187712,"BRKGA",15
0.00149382356563,"BRKGA",15
0.000838089269407,"BRKGA",15
0.000504674986269,"BRKGA",15
0.000660926626043,"BRKGA",15
0.000644438441576,"BRKGA",15
0.00140032319957,"BRKGA",15
0.000800881651325,"BRKGA",15
0.00076329754079,"BRKGA",15
0.000552402224041,"BRKGA",15
0.00186576925878,"BRKGA",15
0.00121137075058,"BRKGA",15
0.00129509030948,"BRKGA",15
0.0010414300861,"BRKGA",15
0.000791292482671,"BRKGA",15
0.00108787259353,"BRKGA",15
0.000744100864661,"BRKGA",15
0.00063433898583,"BRKGA",15
0.00171952454333,"BRKGA",15
0.000934287977815,"BRKGA",15
0.000199225454714,"BRKNSGA",3
0.000135297587549,"BRKNSGA",3
0.00011021049667,"BRKNSGA",3
0.000251579261876,"BRKNSGA",3
0.000716469124061,"BRKNSGA",3
0.000146336901459,"BRKNSGA",3
0.000172505749387,"BRKNSGA",3
1.06020688757e-05,"BRKNSGA",3
3.25309766478e-05,"BRKNSGA",3
0.000163487445477,"BRKNSGA",3
0.000169501622882,"BRKNSGA",3
0.000133711125185,"BRKNSGA",3
7.57234627616e-05,"BRKNSGA",3
2.51228743965e-05,"BRKNSGA",3
0.000257534072925,"BRKNSGA",3
9.50254357558e-05,"BRKNSGA",3
0.000167245038684,"BRKNSGA",3
0.000161343161794,"BRKNSGA",3
0.000126214630659,"BRKNSGA",3
0.000129471635615,"BRKNSGA",3
0.002022834095,"BRKNSGA",3
0.000912858272867,"BRKNSGA",3
0.000124382206498,"BRKNSGA",3
2.83079895085e-06,"BRKNSGA",3
0.000201785123375,"BRKNSGA",3
0.000143495802849,"BRKNSGA",3
0.000362068309847,"BRKNSGA",3
0.000133195574531,"BRKNSGA",3
0.000156061809624,"BRKNSGA",3
1.29270998107e-05,"BRKNSGA",3
0.000265918018175,"BRKNSGA",9
0.00023978364315,"BRKNSGA",9
0.000284369923634,"BRKNSGA",9
0.000276573478121,"BRKNSGA",9
0.000286184824868,"BRKNSGA",9
0.000294666330331,"BRKNSGA",9
0.000264622148283,"BRKNSGA",9
0.000246792094827,"BRKNSGA",9
0.00032660280376,"BRKNSGA",9
0.000263689462209,"BRKNSGA",9
0.000288242880324,"BRKNSGA",9
0.000454506590461,"BRKNSGA",9
0.000241614496558,"BRKNSGA",9
0.000207400081602,"BRKNSGA",9
0.000254772637077,"BRKNSGA",9
0.000279817055367,"BRKNSGA",9
0.000291948154796,"BRKNSGA",9
0.000213313292658,"BRKNSGA",9
0.000310394400233,"BRKNSGA",9
0.000303192924757,"BRKNSGA",9
0.000327569409403,"BRKNSGA",9
0.000305593434661,"BRKNSGA",9
0.000255555684283,"BRKNSGA",9
0.000193256825077,"BRKNSGA",9
0.000214597336032,"BRKNSGA",9
0.000216306683442,"BRKNSGA",9
0.000301033912798,"BRKNSGA",9
0.00027367049161,"BRKNSGA",9
0.000288169716305,"BRKNSGA",9
0.00038815113344,"BRKNSGA",9
0.000397370623593,"BRKNSGA",15
0.000589570763007,"BRKNSGA",15
0.000334368707432,"BRKNSGA",15
0.000371039298821,"BRKNSGA",15
0.000271817070166,"BRKNSGA",15
0.000359206012487,"BRKNSGA",15
0.000552947432409,"BRKNSGA",15
0.000312328482141,"BRKNSGA",15
0.000412109948881,"BRKNSGA",15
0.000370386348949,"BRKNSGA",15
0.000433758007261,"BRKNSGA",15
0.000428668056766,"BRKNSGA",15
0.000421733429749,"BRKNSGA",15
0.000578909067792,"BRKNSGA",15
0.000590704995526,"BRKNSGA",15
0.000407516564614,"BRKNSGA",15
0.000483271924793,"BRKNSGA",15
0.000383452979894,"BRKNSGA",15
0.000352780551973,"BRKNSGA",15
0.000379461877482,"BRKNSGA",15
0.000342953718495,"BRKNSGA",15
0.000394631410663,"BRKNSGA",15
0.000345041281051,"BRKNSGA",15
0.000610670397235,"BRKNSGA",15
0.000594506938995,"BRKNSGA",15
0.000379356399981,"BRKNSGA",15
0.000323828293228,"BRKNSGA",15
0.000437908216051,"BRKNSGA",15
0.000391161632532,"BRKNSGA",15
0.000534426753374,"BRKNSGA",15
9.32832039224e-05,"NSGA-L",3
9.0398015803e-05,"NSGA-L",3
8.90117559768e-05,"NSGA-L",3
9.49942098106e-05,"NSGA-L",3
9.83295735072e-05,"NSGA-L",3
9.64442865715e-05,"NSGA-L",3
0.000101300541492,"NSGA-L",3
9.46973357966e-05,"NSGA-L",3
9.16243761407e-05,"NSGA-L",3
8.93112165025e-05,"NSGA-L",3
9.06921276801e-05,"NSGA-L",3
9.71946765706e-05,"NSGA-L",3
9.40130038945e-05,"NSGA-L",3
9.40978444637e-05,"NSGA-L",3
9.8230415627e-05,"NSGA-L",3
9.03031765549e-05,"NSGA-L",3
8.97157406034e-05,"NSGA-L",3
9.68380182576e-05,"NSGA-L",3
9.43026103136e-05,"NSGA-L",3
9.53779155565e-05,"NSGA-L",3
9.93100230588e-05,"NSGA-L",3
8.56803727264e-05,"NSGA-L",3
9.26266719115e-05,"NSGA-L",3
0.000102017589115,"NSGA-L",3
8.4627542341e-05,"NSGA-L",3
0.000103049651273,"NSGA-L",3
9.55571920116e-05,"NSGA-L",3
9.3032510281e-05,"NSGA-L",3
9.28383751817e-05,"NSGA-L",3
8.78697318942e-05,"NSGA-L",3
0.000105033856952,"NSGA-L",9
0.000123466846094,"NSGA-L",9
0.000113042629123,"NSGA-L",9
0.000123222378962,"NSGA-L",9
0.000133411777475,"NSGA-L",9
0.000131986750707,"NSGA-L",9
0.000143750257049,"NSGA-L",9
0.000126982600602,"NSGA-L",9
0.000160193635661,"NSGA-L",9
0.000123699240371,"NSGA-L",9
0.000122880000969,"NSGA-L",9
0.000133587228598,"NSGA-L",9
9.61454425331e-05,"NSGA-L",9
0.000135630935734,"NSGA-L",9
0.000122103403069,"NSGA-L",9
0.000121716370869,"NSGA-L",9
0.000155422409485,"NSGA-L",9
0.000119820918389,"NSGA-L",9
9.96209916049e-05,"NSGA-L",9
0.000138355355494,"NSGA-L",9
0.000124394390651,"NSGA-L",9
0.000104274051285,"NSGA-L",9
0.000117163916496,"NSGA-L",9
0.000135946204912,"NSGA-L",9
9.13779507082e-05,"NSGA-L",9
0.00016239339265,"NSGA-L",9
0.000138566472262,"NSGA-L",9
0.000137070109898,"NSGA-L",9
0.000151825454057,"NSGA-L",9
0.00012942920854,"NSGA-L",9
0.000223197015951,"NSGA-L",15
0.000213949492458,"NSGA-L",15
0.000171457033297,"NSGA-L",15
0.000341659057518,"NSGA-L",15
0.000445790438401,"NSGA-L",15
0.00020197049245,"NSGA-L",15
0.000149576648154,"NSGA-L",15
0.000309824449351,"NSGA-L",15
0.000239378265751,"NSGA-L",15
0.000229414393132,"NSGA-L",15
0.000238949978627,"NSGA-L",15
0.000194440987728,"NSGA-L",15
0.000330394488568,"NSGA-L",15
0.000240523542877,"NSGA-L",15
0.000189144519995,"NSGA-L",15
0.000161042085061,"NSGA-L",15
0.000223041778397,"NSGA-L",15
0.000156591651265,"NSGA-L",15
0.000180990266343,"NSGA-L",15
0.000193187529159,"NSGA-L",15
0.000244955173046,"NSGA-L",15
0.000285244029939,"NSGA-L",15
0.000219092005919,"NSGA-L",15
0.00026709048276,"NSGA-L",15
0.000314468383671,"NSGA-L",15
0.000227422154735,"NSGA-L",15
0.000221649514829,"NSGA-L",15
0.000201016883311,"NSGA-L",15
0.000258691016608,"NSGA-L",15
0.000233956127465,"NSGA-L",15
0.00012963150615,"NSGA-M",3
0.000117973693627,"NSGA-M",3
0.000121260377171,"NSGA-M",3
0.000122170092429,"NSGA-M",3
9.7959509086e-05,"NSGA-M",3
9.29483456054e-05,"NSGA-M",3
0.000106459763356,"NSGA-M",3
0.000100814926716,"NSGA-M",3
0.000127215096188,"NSGA-M",3
0.000115867853525,"NSGA-M",3
0.000110022943907,"NSGA-M",3
0.000129980243137,"NSGA-M",3
0.000124047746031,"NSGA-M",3
0.000113788681469,"NSGA-M",3
0.000113091180304,"NSGA-M",3
0.000129744171359,"NSGA-M",3
0.000120474805005,"NSGA-M",3
0.0001125798627,"NSGA-M",3
0.000125275826844,"NSGA-M",3
0.00013496265234,"NSGA-M",3
9.44610902061e-05,"NSGA-M",3
0.000117177505955,"NSGA-M",3
0.000119594136487,"NSGA-M",3
0.000116548046557,"NSGA-M",3
0.00011270215323,"NSGA-M",3
0.000111806986369,"NSGA-M",3
0.000114808397287,"NSGA-M",3
0.000104421764348,"NSGA-M",3
0.000116362325289,"NSGA-M",3
9.69781865363e-05,"NSGA-M",3
5.4840978104e-05,"NSGA-M",9
3.5654912358e-05,"NSGA-M",9
8.23673113743e-05,"NSGA-M",9
4.24089950837e-05,"NSGA-M",9
5.6616140507e-05,"NSGA-M",9
5.43594413782e-05,"NSGA-M",9
3.69953502738e-05,"NSGA-M",9
2.76007330831e-05,"NSGA-M",9
4.75573569644e-05,"NSGA-M",9
6.97083935379e-05,"NSGA-M",9
3.90815905302e-05,"NSGA-M",9
5.59708721215e-05,"NSGA-M",9
4.93942693137e-05,"NSGA-M",9
6.41704837076e-05,"NSGA-M",9
4.67288686784e-05,"NSGA-M",9
6.24341639583e-05,"NSGA-M",9
5.57985049039e-05,"NSGA-M",9
4.83920623824e-05,"NSGA-M",9
5.1213162324e-05,"NSGA-M",9
5.54546725212e-05,"NSGA-M",9
3.67448463378e-05,"NSGA-M",9
4.53813479462e-05,"NSGA-M",9
3.65183246449e-05,"NSGA-M",9
5.02679251609e-05,"NSGA-M",9
4.60075117818e-05,"NSGA-M",9
5.96938486985e-05,"NSGA-M",9
4.33192153251e-05,"NSGA-M",9
5.28052530138e-05,"NSGA-M",9
3.96520060007e-05,"NSGA-M",9
5.07088408285e-05,"NSGA-M",9
3.90931562438e-05,"NSGA-M",15
3.62520945945e-05,"NSGA-M",15
4.11594928848e-05,"NSGA-M",15
2.76668150442e-05,"NSGA-M",15
3.28684942816e-05,"NSGA-M",15
3.36054096156e-05,"NSGA-M",15
4.65427714496e-05,"NSGA-M",15
4.69057027066e-05,"NSGA-M",15
3.30895571434e-05,"NSGA-M",15
5.03281904198e-05,"NSGA-M",15
4.03675087236e-05,"NSGA-M",15
5.92809011927e-05,"NSGA-M",15
3.45946325084e-05,"NSGA-M",15
5.56600882838e-05,"NSGA-M",15
4.27553735468e-05,"NSGA-M",15
4.93843726451e-05,"NSGA-M",15
4.57617674833e-05,"NSGA-M",15
3.41610036148e-05,"NSGA-M",15
3.02899192006e-05,"NSGA-M",15
3.56890770371e-05,"NSGA-M",15
3.77124718129e-05,"NSGA-M",15
3.36690856507e-05,"NSGA-M",15
6.4912823763e-05,"NSGA-M",15
3.88228450841e-05,"NSGA-M",15
3.05484247109e-05,"NSGA-M",15
4.03333207793e-05,"NSGA-M",15
