Hipervolume,Algoritmo,Cardinalidade
2.83977470485e-06,"BRKGA",3
2.83426412684e-05,"BRKGA",3
2.29538723159e-05,"BRKGA",3
8.77618829333e-06,"BRKGA",3
3.79423600804e-05,"BRKGA",3
2.50054135981e-05,"BRKGA",3
1.7092639977e-06,"BRKGA",3
4.4915995178e-05,"BRKGA",3
4.57691652779e-05,"BRKGA",3
1.7092639977e-06,"BRKGA",3
3.96670199534e-06,"BRKGA",3
3.67847656131e-06,"BRKGA",3
3.17913415508e-05,"BRKGA",3
4.09096408216e-06,"BRKGA",3
1.7092639977e-06,"BRKGA",3
2.28606699686e-05,"BRKGA",3
2.89770065378e-06,"BRKGA",3
2.89296645649e-05,"BRKGA",3
4.0366996733e-05,"BRKGA",3
1.7092639977e-06,"BRKGA",3
2.52871622151e-05,"BRKGA",3
5.39883649383e-06,"BRKGA",3
3.54395152988e-05,"BRKGA",3
3.91101910075e-05,"BRKGA",3
3.7173681645e-05,"BRKGA",3
3.59471752035e-05,"BRKGA",3
1.7092639977e-06,"BRKGA",3
2.84450427785e-05,"BRKGA",3
2.79138370466e-05,"BRKGA",3
3.02478236144e-05,"BRKGA",3
1.66598975997e-05,"BRKGA",9
1.56358848626e-05,"BRKGA",9
1.62502144398e-05,"BRKGA",9
1.75740402382e-05,"BRKGA",9
1.35618667989e-05,"BRKGA",9
1.66584040409e-05,"BRKGA",9
1.49466893407e-05,"BRKGA",9
1.62139478445e-05,"BRKGA",9
2.08803023304e-05,"BRKGA",9
1.67968625012e-05,"BRKGA",9
1.57942696186e-05,"BRKGA",9
1.13112460773e-05,"BRKGA",9
1.42338244423e-05,"BRKGA",9
1.6093881271e-05,"BRKGA",9
1.62103521087e-05,"BRKGA",9
1.89929403428e-05,"BRKGA",9
1.34398508882e-05,"BRKGA",9
1.8837918897e-05,"BRKGA",9
1.43540562675e-05,"BRKGA",9
1.7257778247e-05,"BRKGA",9
1.83968750119e-05,"BRKGA",9
1.37220253363e-05,"BRKGA",9
1.56308990231e-05,"BRKGA",9
1.56013508386e-05,"BRKGA",9
1.55872248993e-05,"BRKGA",9
1.85244767603e-05,"BRKGA",9
1.44320615948e-05,"BRKGA",9
1.79881089638e-05,"BRKGA",9
1.47303651168e-05,"BRKGA",9
1.30702415671e-05,"BRKGA",9
8.57341782102e-06,"BRKGA",15
1.10786009926e-05,"BRKGA",15
1.10095614646e-05,"BRKGA",15
7.70161243343e-06,"BRKGA",15
1.36074541512e-05,"BRKGA",15
9.43391288873e-06,"BRKGA",15
1.10834269372e-05,"BRKGA",15
1.00361577146e-05,"BRKGA",15
8.92264446578e-06,"BRKGA",15
1.22867936534e-05,"BRKGA",15
1.02728098038e-05,"BRKGA",15
8.90142896835e-06,"BRKGA",15
1.09590898999e-05,"BRKGA",15
